case,version,mode,RAG,replicate
WordPress,v1,summarized,RAG1,8
WordPress,v2,notsummarized,RAG1,8
WordPress,v2,summarized,RAG0,8
WordPress,v3,notsummarized,RAG0,8
WordPress,v3,summarized,RAG1,8
WordPress,v1,notsummarized,RAG0,9
WordPress,v1,summarized,RAG1,9
WordPress,v2,notsummarized,RAG1,9
WordPress,v2,summarized,RAG0,9
WordPress,v3,notsummarized,RAG0,9
WordPress,v3,summarized,RAG1,9
WordPress,v1,notsummarized,RAG0,10
WordPress,v1,summarized,RAG1,10
WordPress,v2,notsummarized,RAG1,10
WordPress,v2,summarized,RAG0,10
WordPress,v3,notsummarized,RAG0,10
WordPress,v3,summarized,RAG1,10
eWeLink,v1,notsummarized,RAG0,1
eWeLink,v1,summarized,RAG1,1
eWeLink,v2,notsummarized,RAG1,1
eWeLink,v2,summarized,RAG0,1
eWeLink,v3,notsummarized,RAG0,1
eWeLink,v3,summarized,RAG1,1
eWeLink,v1,notsummarized,RAG0,2
eWeLink,v1,summarized,RAG1,2
eWeLink,v2,notsummarized,RAG1,2
eWeLink,v2,summarized,RAG0,2
eWeLink,v3,notsummarized,RAG0,2
eWeLink,v3,summarized,RAG1,2
eWeLink,v1,notsummarized,RAG0,3
eWeLink,v1,summarized,RAG1,3
eWeLink,v2,notsummarized,RAG1,3
eWeLink,v2,summarized,RAG0,3
eWeLink,v3,notsummarized,RAG0,3
eWeLink,v3,summarized,RAG1,3
eWeLink,v1,notsummarized,RAG0,4
eWeLink,v1,summarized,RAG1,4
eWeLink,v2,notsummarized,RAG1,4
eWeLink,v2,summarized,RAG0,4
eWeLink,v3,notsummarized,RAG0,4
eWeLink,v3,summarized,RAG1,4
eWeLink,v1,notsummarized,RAG0,5
eWeLink,v1,summarized,RAG1,5
eWeLink,v2,notsummarized,RAG1,5
eWeLink,v2,summarized,RAG0,5
eWeLink,v3,notsummarized,RAG0,5
eWeLink,v3,summarized,RAG1,5
eWeLink,v1,notsummarized,RAG0,6
eWeLink,v1,summarized,RAG1,6
eWeLink,v2,notsummarized,RAG1,6
eWeLink,v2,summarized,RAG0,6
eWeLink,v3,notsummarized,RAG0,6
eWeLink,v3,summarized,RAG1,6
eWeLink,v1,notsummarized,RAG0,7
eWeLink,v1,summarized,RAG1,7
eWeLink,v2,notsummarized,RAG1,7
eWeLink,v2,summarized,RAG0,7
eWeLink,v3,notsummarized,RAG0,7
eWeLink,v3,summarized,RAG1,7
eWeLink,v1,notsummarized,RAG0,8
eWeLink,v1,summarized,RAG1,8
eWeLink,v2,notsummarized,RAG1,8
eWeLink,v2,summarized,RAG0,8
eWeLink,v3,notsummarized,RAG0,8
eWeLink,v3,summarized,RAG1,8
eWeLink,v1,notsummarized,RAG0,9
eWeLink,v1,summarized,RAG1,9
eWeLink,v2,notsummarized,RAG1,9
eWeLink,v2,summarized,RAG0,9
eWeLink,v3,notsummarized,RAG0,9
eWeLink,v3,summarized,RAG1,9
eWeLink,v1,notsummarized,RAG0,10
eWeLink,v1,summarized,RAG1,10
eWeLink,v2,notsummarized,RAG1,10
eWeLink,v2,summarized,RAG0,10
eWeLink,v3,notsummarized,RAG0,10
eWeLink,v3,summarized,RAG1,10
