case,version,mode,RAG,success,iterations,created at,updated at,TotalToken,inputToken,outputToken
WordPress,v2,notsummarized,0,0,30,2026-01-13 01:45:57+00:00,2026-01-13 02:05:04+00:00,459610,44923,414687
eWeLink,v1,summarized,0,0,30,2026-01-13 01:43:49+00:00,2026-01-13 03:00:14+00:00,831187,91674,739513
Open Energy Monitor,v3,notsummarized,1,1,6,2026-01-13 01:37:34+00:00,2026-01-13 01:45:51+00:00,163226,16673,146553
Open Energy Monitor,v3,notsummarized,1,1,5,2026-01-13 01:25:59+00:00,2026-01-13 01:37:44+00:00,135342,12975,122367
Open Energy Monitor,v2,summarized,0,1,8,2026-01-13 01:21:16+00:00,2026-01-13 01:37:29+00:00,278147,36494,241653
WordPress,v2,notsummarized,0,1,8,2026-01-13 01:19:50+00:00,2026-01-13 01:25:53+00:00,92448,7773,84675
WordPress,v1,notsummarized,0,1,21,2026-01-13 01:03:51+00:00,2026-01-13 01:21:10+00:00,338384,37703,300681
eWeLink,v1,notsummarized,0,0,30,2026-01-13 00:36:41+00:00,2026-01-13 01:03:46+00:00,548589,62343,486246
JetRacer,v1,summarized,1,1,18,2026-01-12 23:58:32+00:00,2026-01-13 00:36:35+00:00,794697,99872,694825
eWeLink,v1,notsummarized,0,0,30,2026-01-12 23:32:48+00:00,2026-01-12 23:58:27+00:00,543952,63416,480536
JetRacer,v2,summarized,1,1,9,2026-01-12 23:11:50+00:00,2026-01-12 23:32:43+00:00,411909,52654,359255
JetRacer,v3,summarized,0,1,5,2026-01-12 23:05:59+00:00,2026-01-12 23:11:45+00:00,104519,9588,94931
eWeLink,v2,notsummarized,0,1,5,2026-01-12 23:01:34+00:00,2026-01-12 23:05:54+00:00,66385,6702,59683
JetRacer,v3,summarized,1,0,30,2026-01-12 22:57:52+00:00,2026-01-13 01:19:45+00:00,1485219,201624,1283595
WordPress,v1,notsummarized,0,1,22,2026-01-12 22:43:29+00:00,2026-01-12 23:01:18+00:00,340878,38098,302780
eWeLink,v2,notsummarized,0,0,30,2026-01-12 22:21:41+00:00,2026-01-12 22:43:24+00:00,406435,39427,367008
Open Energy Monitor,v1,summarized,0,0,30,2026-01-12 21:43:18+00:00,2026-01-12 22:21:36+00:00,857230,104573,752657
Open Energy Monitor,v2,summarized,0,0,30,2026-01-12 21:08:31+00:00,2026-01-12 21:43:13+00:00,782293,71662,710631
eWeLink,v2,notsummarized,0,1,13,2026-01-12 20:59:09+00:00,2026-01-12 21:08:26+00:00,175761,16753,159008
JetRacer,v3,summarized,1,0,30,2026-01-12 20:51:08+00:00,2026-01-12 22:57:47+00:00,1518604,183501,1335103
JetRacer,v3,summarized,1,0,30,2026-01-12 19:57:56+00:00,2026-01-12 20:59:04+00:00,1198190,150998,1047192
JetRacer,v3,summarized,0,0,30,2026-01-12 19:17:33+00:00,2026-01-12 20:51:03+00:00,1060028,99187,960841
Open Energy Monitor,v1,summarized,1,0,30,2026-01-12 19:15:43+00:00,2026-01-12 19:57:51+00:00,873385,89727,783658
eWeLink,v2,notsummarized,0,1,11,2026-01-12 19:07:40+00:00,2026-01-12 19:15:38+00:00,156335,16221,140114
WordPress,v1,notsummarized,0,1,19,2026-01-12 18:47:19+00:00,2026-01-12 19:07:40+00:00,274484,30378,244106
WordPress,v2,summarized,0,0,30,2026-01-12 18:34:12+00:00,2026-01-12 19:07:35+00:00,773643,80268,693375
WordPress,v2,summarized,0,1,2,2026-01-12 18:31:53+00:00,2026-01-12 18:34:07+00:00,32292,4134,28158
WordPress,v3,notsummarized,0,1,9,2026-01-12 18:21:21+00:00,2026-01-12 18:31:48+00:00,195348,18191,177157
Open Energy Monitor,v1,notsummarized,0,0,30,2026-01-12 17:53:01+00:00,2026-01-12 18:47:14+00:00,629207,77856,551351
BookInfo,v3,notsummarized,1,0,30,2026-01-12 17:26:18+00:00,2026-01-12 18:21:16+00:00,1164571,104492,1060079
Open Energy Monitor,v3,notsummarized,1,0,30,2026-01-12 16:40:18+00:00,2026-01-12 17:26:13+00:00,851183,107239,743944
eWeLink,v1,notsummarized,0,1,10,2026-01-12 16:31:14+00:00,2026-01-12 16:40:13+00:00,156012,15948,140064
WordPress,v1,notsummarized,0,0,30,2026-01-12 16:20:53+00:00,2026-01-12 16:55:15+00:00,460836,52445,408391
WordPress,v3,summarized,0,1,9,2026-01-12 16:17:24+00:00,2026-01-12 16:31:09+00:00,256925,24350,232575
Open Energy Monitor,v3,summarized,0,1,5,2026-01-12 16:11:19+00:00,2026-01-12 16:17:19+00:00,126048,14477,111571
eWeLink,v1,summarized,0,0,30,2026-01-12 10:05:05+00:00,2026-01-12 10:49:13+00:00,841687,98973,742714
WordPress,v1,notsummarized,0,1,18,2026-01-12 09:50:16+00:00,2026-01-12 10:05:00+00:00,288339,31671,256668
Open Energy Monitor,v3,summarized,1,1,11,2026-01-12 09:34:01+00:00,2026-01-12 09:50:11+00:00,379788,30119,349669
Open Energy Monitor,v3,notsummarized,0,1,4,2026-01-12 09:30:00+00:00,2026-01-12 09:33:56+00:00,77391,9016,68375
WordPress,v1,summarized,0,0,30,2026-01-12 08:53:39+00:00,2026-01-12 09:29:55+00:00,737059,82105,654954
WordPress,v3,summarized,0,1,20,2026-01-12 08:21:00+00:00,2026-01-12 08:53:34+00:00,717937,75225,642712
WordPress,v2,summarized,0,1,13,2026-01-12 08:08:15+00:00,2026-01-12 08:20:55+00:00,278303,28180,250123
JetRacer,v3,summarized,1,1,4,2026-01-12 08:00:26+00:00,2026-01-12 08:08:09+00:00,147755,18465,129290
Open Energy Monitor,v2,notsummarized,1,1,11,2026-01-12 07:45:11+00:00,2026-01-12 08:00:21+00:00,299385,32360,267025
Open Energy Monitor,v2,summarized,0,1,19,2026-01-12 07:22:01+00:00,2026-01-12 07:45:06+00:00,498949,59056,439893
WordPress,v1,summarized,0,1,5,2026-01-12 06:43:30+00:00,2026-01-12 06:47:57+00:00,64085,5815,58270
WordPress,v3,notsummarized,0,0,30,2026-01-12 06:36:29+00:00,2026-01-12 06:58:31+00:00,549113,47520,501593
WordPress,v1,notsummarized,0,1,8,2026-01-12 06:30:27+00:00,2026-01-12 06:36:24+00:00,120925,13790,107135
eWeLink,v1,notsummarized,0,1,14,2026-01-12 06:17:30+00:00,2026-01-12 06:30:22+00:00,225625,23614,202011
JetRacer,v3,notsummarized,1,1,11,2026-01-12 06:16:13+00:00,2026-01-12 06:43:25+00:00,317982,39256,278726
Open Energy Monitor,v2,summarized,1,1,13,2026-01-12 06:00:05+00:00,2026-01-12 06:17:25+00:00,359427,34743,324684
Open Energy Monitor,v3,summarized,1,1,18,2026-01-12 05:33:19+00:00,2026-01-12 05:59:59+00:00,531483,55958,475525
eWeLink,v3,summarized,0,1,3,2026-01-12 05:29:11+00:00,2026-01-12 05:33:14+00:00,81797,8719,73078
Open Energy Monitor,v3,summarized,0,1,7,2026-01-12 05:16:45+00:00,2026-01-12 05:29:05+00:00,228025,24051,203974
BookInfo,v3,notsummarized,1,0,30,2026-01-12 04:57:08+00:00,2026-01-12 06:16:08+00:00,1180151,86249,1093902
BookInfo,v1,notsummarized,1,0,30,2026-01-12 04:26:40+00:00,2026-01-12 05:16:40+00:00,923564,104215,819349
Open Energy Monitor,v2,notsummarized,1,1,24,2026-01-12 03:59:17+00:00,2026-01-12 04:26:35+00:00,618200,62418,555782
WordPress,v3,summarized,0,1,27,2026-01-12 03:21:02+00:00,2026-01-12 03:59:12+00:00,940222,83834,856388
Open Energy Monitor,v3,summarized,1,1,14,2026-01-12 03:01:24+00:00,2026-01-12 03:20:57+00:00,474224,37273,436951
BookInfo,v3,summarized,1,0,30,2026-01-12 02:46:26+00:00,2026-01-12 04:57:03+00:00,1739691,133330,1606361
eWeLink,v3,summarized,0,0,30,2026-01-12 02:20:35+00:00,2026-01-12 03:01:19+00:00,871501,77127,794374
Open Energy Monitor,v3,notsummarized,1,1,3,2026-01-12 02:16:44+00:00,2026-01-12 02:20:30+00:00,61772,5801,55971
JetRacer,v2,summarized,1,1,25,2026-01-12 01:10:47+00:00,2026-01-12 02:16:38+00:00,1314247,170357,1143890
WordPress,v1,notsummarized,0,0,30,2026-01-12 00:39:08+00:00,2026-01-12 01:17:05+00:00,504970,58837,446133
WordPress,v2,summarized,0,0,30,2026-01-12 00:38:35+00:00,2026-01-12 01:10:42+00:00,739609,81500,658109
eWeLink,v3,notsummarized,0,1,7,2026-01-11 18:23:38+00:00,2026-01-11 18:30:07+00:00,124974,10553,114421
WordPress,v3,summarized,0,1,10,2026-01-11 18:07:47+00:00,2026-01-11 18:21:16+00:00,185839,18810,167029
WordPress,v3,summarized,0,1,5,2026-01-11 18:05:29+00:00,2026-01-11 18:12:15+00:00,124419,13226,111193
WordPress,v2,notsummarized,0,1,14,2026-01-11 17:54:10+00:00,2026-01-11 18:07:42+00:00,192850,19496,173354
WordPress,v3,summarized,0,1,15,2026-01-11 17:47:28+00:00,2026-01-11 18:05:19+00:00,408661,38679,369982
WordPress,v3,summarized,0,1,1,2026-01-11 17:25:05+00:00,2026-01-11 17:28:36+00:00,20453,4308,16145
Open Energy Monitor,v1,summarized,1,0,30,2026-01-11 17:00:17+00:00,2026-01-11 17:47:22+00:00,969675,97374,872301
Open Energy Monitor,v1,summarized,1,0,30,2026-01-11 16:23:19+00:00,2026-01-11 17:00:12+00:00,791336,71722,719614
BookInfo,v2,summarized,0,0,30,2026-01-11 16:05:01+00:00,2026-01-11 17:25:00+00:00,1082309,121564,960745
eWeLink,v3,notsummarized,0,1,29,2026-01-11 15:51:22+00:00,2026-01-11 16:20:47+00:00,532450,53073,479377
Open Energy Monitor,v3,summarized,0,1,4,2026-01-11 15:42:04+00:00,2026-01-11 15:51:17+00:00,137230,16125,121105
Open Energy Monitor,v3,notsummarized,1,1,7,2026-01-11 15:33:52+00:00,2026-01-11 15:41:59+00:00,161944,17638,144306
WordPress,v1,summarized,0,1,10,2026-01-11 15:18:13+00:00,2026-01-11 15:33:46+00:00,273950,34956,238994
Open Energy Monitor,v3,notsummarized,0,0,30,2026-01-11 15:16:54+00:00,2026-01-11 16:04:56+00:00,581783,51975,529808
JetRacer,v2,summarized,0,0,30,2026-01-11 14:42:57+00:00,2026-01-11 15:15:41+00:00,703688,83972,619716
Open Energy Monitor,v2,summarized,0,0,30,2026-01-11 14:22:11+00:00,2026-01-11 15:16:39+00:00,724970,73064,651906
WordPress,v2,summarized,0,1,7,2026-01-11 14:07:16+00:00,2026-01-11 14:22:05+00:00,167011,20137,146874
JetRacer,v2,notsummarized,1,0,30,2026-01-11 13:39:56+00:00,2026-01-11 14:42:51+00:00,1161972,164107,997865
eWeLink,v2,summarized,0,0,30,2026-01-11 13:11:57+00:00,2026-01-11 14:07:11+00:00,667439,70460,596979
BookInfo,v3,summarized,1,1,21,2026-01-11 12:59:44+00:00,2026-01-11 13:39:50+00:00,763279,78700,684579
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-11 12:23:50+00:00,2026-01-11 13:11:52+00:00,634876,73544,561332
JetRacer,v1,summarized,1,0,30,2026-01-11 11:54:14+00:00,2026-01-11 12:59:39+00:00,1223885,157539,1066346
Open Energy Monitor,v2,notsummarized,1,1,5,2026-01-11 11:47:56+00:00,2026-01-11 11:54:09+00:00,101928,12037,89891
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-11 11:43:38+00:00,2026-01-11 12:23:45+00:00,472986,46609,426377
Open Energy Monitor,v3,summarized,1,1,4,2026-01-11 11:33:03+00:00,2026-01-11 11:43:33+00:00,116847,12336,104511
Open Energy Monitor,v1,summarized,0,0,30,2026-01-11 10:54:51+00:00,2026-01-11 11:47:51+00:00,1063676,131666,932010
Open Energy Monitor,v1,summarized,0,1,21,2026-01-11 10:51:17+00:00,2026-01-11 11:32:57+00:00,514083,54328,459755
eWeLink,v2,notsummarized,0,0,30,2026-01-11 10:36:06+00:00,2026-01-11 10:54:46+00:00,378867,28640,350227
Open Energy Monitor,v2,summarized,1,0,30,2026-01-11 09:49:32+00:00,2026-01-11 10:35:56+00:00,1051881,97286,954595
Open Energy Monitor,v2,summarized,1,0,30,2026-01-11 09:48:24+00:00,2026-01-11 10:51:12+00:00,937170,74136,863034
JetRacer,v1,summarized,0,0,30,2026-01-11 08:42:36+00:00,2026-01-11 09:46:46+00:00,1089482,133817,955665
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-11 08:12:12+00:00,2026-01-11 08:42:31+00:00,655836,70296,585540
eWeLink,v2,summarized,0,1,9,2026-01-11 08:01:14+00:00,2026-01-11 08:12:07+00:00,216013,24765,191248
JetRacer,v2,summarized,0,0,30,2026-01-11 07:39:47+00:00,2026-01-11 08:01:09+00:00,482508,42324,440184
JetRacer,v2,summarized,0,1,4,2026-01-11 07:32:51+00:00,2026-01-11 07:39:42+00:00,111456,12761,98695
JetRacer,v2,summarized,1,0,30,2026-01-11 06:00:41+00:00,2026-01-11 07:32:46+00:00,1664490,227049,1437441
eWeLink,v2,summarized,0,0,30,2026-01-11 05:55:46+00:00,2026-01-11 07:01:53+00:00,722973,79890,643083
JetRacer,v1,notsummarized,0,1,10,2026-01-11 05:46:27+00:00,2026-01-11 05:55:40+00:00,120783,12413,108370
BookInfo,v1,summarized,0,0,30,2026-01-11 04:46:55+00:00,2026-01-11 05:27:06+00:00,893682,105661,788021
Open Energy Monitor,v1,summarized,0,0,30,2026-01-11 03:44:39+00:00,2026-01-11 04:46:49+00:00,1046679,118281,928398
Open Energy Monitor,v1,summarized,1,1,12,2026-01-11 03:25:16+00:00,2026-01-11 03:44:33+00:00,372528,41986,330542
Open Energy Monitor,v2,notsummarized,1,1,16,2026-01-11 03:04:36+00:00,2026-01-11 03:25:10+00:00,394012,42192,351820
Open Energy Monitor,v2,summarized,1,0,30,2026-01-11 01:46:54+00:00,2026-01-11 03:04:31+00:00,1249505,128076,1121429
Open Energy Monitor,v1,summarized,0,1,22,2026-01-11 01:18:03+00:00,2026-01-11 01:46:48+00:00,560905,59762,501143
Open Energy Monitor,v1,summarized,0,1,10,2026-01-11 01:06:59+00:00,2026-01-11 01:17:58+00:00,224430,25756,198674
BookInfo,v3,summarized,1,0,30,2026-01-11 00:55:41+00:00,2026-01-11 02:57:52+00:00,1486598,123930,1362668
Open Energy Monitor,v2,notsummarized,0,1,7,2026-01-11 00:49:15+00:00,2026-01-11 00:55:36+00:00,89229,7400,81829
Open Energy Monitor,v1,notsummarized,0,0,30,2026-01-11 00:35:46+00:00,2026-01-11 01:06:54+00:00,517263,55747,461516
WordPress,v1,summarized,0,1,8,2026-01-11 00:26:04+00:00,2026-01-11 00:35:40+00:00,171080,20768,150312
JetRacer,v1,notsummarized,0,0,30,2026-01-11 00:09:04+00:00,2026-01-11 00:25:59+00:00,347176,37681,309495
Open Energy Monitor,v2,summarized,1,0,30,2026-01-10 23:18:52+00:00,2026-01-11 00:08:59+00:00,1109116,111888,997228
eWeLink,v3,summarized,0,0,30,2026-01-10 23:04:43+00:00,2026-01-11 00:49:10+00:00,1279291,121943,1157348
WordPress,v2,summarized,0,0,30,2026-01-10 22:49:39+00:00,2026-01-10 23:18:47+00:00,666155,67140,599015
eWeLink,v3,notsummarized,0,1,5,2026-01-10 22:45:22+00:00,2026-01-10 22:49:34+00:00,70963,6642,64321
WordPress,v1,summarized,0,1,15,2026-01-10 22:30:15+00:00,2026-01-10 22:45:17+00:00,320408,36458,283950
BookInfo,v3,notsummarized,0,0,30,2026-01-10 22:19:27+00:00,2026-01-10 23:04:38+00:00,684430,64699,619731
BookInfo,v1,summarized,0,1,16,2026-01-10 22:07:33+00:00,2026-01-10 22:30:10+00:00,477737,63741,413996
WordPress,v3,notsummarized,0,1,9,2026-01-10 21:42:32+00:00,2026-01-10 21:58:21+00:00,222606,21475,201131
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-10 21:41:14+00:00,2026-01-10 22:07:28+00:00,537128,62644,474484
eWeLink,v1,notsummarized,0,0,30,2026-01-10 21:10:49+00:00,2026-01-10 21:41:09+00:00,557834,61696,496138
eWeLink,v2,summarized,0,1,20,2026-01-10 20:54:34+00:00,2026-01-10 21:42:27+00:00,564984,62644,502340
JetRacer,v1,notsummarized,1,0,30,2026-01-10 20:17:04+00:00,2026-01-10 21:10:44+00:00,1050990,148913,902077
BookInfo,v2,summarized,1,0,30,2026-01-10 19:14:49+00:00,2026-01-10 20:16:59+00:00,1270768,139452,1131316
JetRacer,v1,summarized,0,0,30,2026-01-10 18:28:27+00:00,2026-01-10 19:14:44+00:00,951606,120664,830942
Open Energy Monitor,v1,notsummarized,0,0,30,2026-01-10 18:24:20+00:00,2026-01-10 19:28:46+00:00,718597,92316,626281
JetRacer,v1,notsummarized,0,0,30,2026-01-10 18:11:35+00:00,2026-01-10 18:28:22+00:00,347586,36276,311310
WordPress,v1,summarized,0,0,30,2026-01-10 17:10:40+00:00,2026-01-10 17:38:54+00:00,607539,60827,546712
JetRacer,v2,notsummarized,1,0,30,2026-01-10 17:10:22+00:00,2026-01-10 18:24:15+00:00,895222,111554,783668
eWeLink,v1,notsummarized,0,1,15,2026-01-10 16:48:24+00:00,2026-01-10 17:10:17+00:00,249027,28228,220799
JetRacer,v3,notsummarized,1,1,4,2026-01-10 16:36:22+00:00,2026-01-10 16:48:19+00:00,103274,13263,90011
Open Energy Monitor,v1,summarized,1,0,30,2026-01-10 16:35:40+00:00,2026-01-10 17:10:35+00:00,744006,64450,679556
JetRacer,v3,notsummarized,0,1,5,2026-01-10 16:30:05+00:00,2026-01-10 16:36:17+00:00,66778,6438,60340
JetRacer,v3,notsummarized,0,0,30,2026-01-10 15:57:49+00:00,2026-01-10 16:30:00+00:00,380684,32964,347720
eWeLink,v3,summarized,0,0,30,2026-01-10 15:51:46+00:00,2026-01-10 16:35:35+00:00,927731,85169,842562
JetRacer,v2,summarized,0,1,9,2026-01-10 15:43:31+00:00,2026-01-10 15:57:43+00:00,171359,17960,153399
JetRacer,v3,notsummarized,0,1,4,2026-01-10 15:38:15+00:00,2026-01-10 15:41:39+00:00,59889,6055,53834
Open Energy Monitor,v3,notsummarized,0,1,23,2026-01-10 15:20:36+00:00,2026-01-10 15:38:09+00:00,436191,42999,393192
WordPress,v3,notsummarized,0,1,16,2026-01-10 15:17:04+00:00,2026-01-10 15:43:25+00:00,367436,31166,336270
WordPress,v3,notsummarized,0,1,6,2026-01-10 15:15:18+00:00,2026-01-10 15:20:31+00:00,127321,10038,117283
Open Energy Monitor,v2,notsummarized,1,0,30,2026-01-10 14:37:48+00:00,2026-01-10 15:15:13+00:00,747945,82766,665179
JetRacer,v1,notsummarized,1,1,14,2026-01-10 14:06:45+00:00,2026-01-10 14:24:47+00:00,348487,45122,303365
eWeLink,v3,summarized,0,1,7,2026-01-10 13:55:16+00:00,2026-01-10 14:06:40+00:00,233906,22459,211447
Open Energy Monitor,v1,summarized,1,0,30,2026-01-10 13:50:07+00:00,2026-01-10 15:16:59+00:00,1050736,108321,942415
BookInfo,v2,notsummarized,0,0,30,2026-01-10 13:36:45+00:00,2026-01-10 13:55:11+00:00,433601,42536,391065
JetRacer,v3,notsummarized,1,1,4,2026-01-10 13:36:27+00:00,2026-01-10 13:50:01+00:00,128923,16172,112751
JetRacer,v2,notsummarized,0,0,30,2026-01-10 13:21:37+00:00,2026-01-10 13:36:40+00:00,356384,30358,326026
WordPress,v2,notsummarized,0,1,10,2026-01-10 13:15:06+00:00,2026-01-10 13:21:32+00:00,145120,16124,128996
WordPress,v3,notsummarized,0,0,30,2026-01-10 12:53:44+00:00,2026-01-10 13:36:22+00:00,609485,52639,556846
JetRacer,v2,notsummarized,0,0,30,2026-01-10 12:23:31+00:00,2026-01-10 12:53:39+00:00,384000,42283,341717
JetRacer,v1,notsummarized,1,0,30,2026-01-10 12:23:06+00:00,2026-01-10 13:15:01+00:00,995866,139889,855977
Open Energy Monitor,v3,notsummarized,0,1,11,2026-01-10 11:12:11+00:00,2026-01-10 11:29:34+00:00,222737,20980,201757
JetRacer,v3,notsummarized,1,1,9,2026-01-10 10:47:14+00:00,2026-01-10 11:12:06+00:00,278230,34754,243476
BookInfo,v2,summarized,1,0,30,2026-01-10 10:23:54+00:00,2026-01-10 11:23:14+00:00,1248564,126214,1122350
Open Energy Monitor,v1,notsummarized,1,0,30,2026-01-10 09:45:43+00:00,2026-01-10 10:46:48+00:00,700386,77358,623028
BookInfo,v2,summarized,0,1,12,2026-01-10 09:36:10+00:00,2026-01-10 09:55:02+00:00,344017,37747,306270
eWeLink,v3,notsummarized,0,1,21,2026-01-10 09:09:14+00:00,2026-01-10 09:36:04+00:00,515338,62308,453030
Open Energy Monitor,v2,summarized,0,1,16,2026-01-10 09:05:31+00:00,2026-01-10 09:45:37+00:00,466316,54169,412147
JetRacer,v3,notsummarized,1,0,30,2026-01-10 08:12:58+00:00,2026-01-10 09:09:09+00:00,1110059,137101,972958
JetRacer,v2,notsummarized,1,0,30,2026-01-10 07:44:38+00:00,2026-01-10 09:02:30+00:00,918751,122639,796112
WordPress,v2,summarized,0,0,30,2026-01-10 06:02:47+00:00,2026-01-10 06:52:58+00:00,604198,68595,535603
JetRacer,v2,notsummarized,0,1,5,2026-01-10 05:57:47+00:00,2026-01-10 06:02:42+00:00,60805,6467,54338
JetRacer,v1,notsummarized,1,1,18,2026-01-10 05:15:11+00:00,2026-01-10 05:57:42+00:00,490491,63665,426826
JetRacer,v3,summarized,0,1,6,2026-01-10 04:56:36+00:00,2026-01-10 05:15:06+00:00,190259,17192,173067
BookInfo,v2,summarized,1,0,30,2026-01-10 02:57:46+00:00,2026-01-10 03:58:31+00:00,1262500,129958,1132542
JetRacer,v1,summarized,0,0,30,2026-01-10 02:52:01+00:00,2026-01-10 04:23:49+00:00,970640,104982,865658
BookInfo,v1,notsummarized,0,1,17,2026-01-10 02:33:37+00:00,2026-01-10 02:51:56+00:00,249939,25251,224688
BookInfo,v1,notsummarized,1,0,30,2026-01-10 02:03:26+00:00,2026-01-10 02:57:41+00:00,972927,110033,862894
eWeLink,v2,summarized,0,1,10,2026-01-10 01:49:49+00:00,2026-01-10 02:03:21+00:00,274965,30771,244194
Open Energy Monitor,v1,summarized,0,1,7,2026-01-10 01:41:16+00:00,2026-01-10 01:49:44+00:00,162676,19455,143221
eWeLink,v3,summarized,0,1,8,2026-01-10 01:30:07+00:00,2026-01-10 01:41:11+00:00,204899,17234,187665
JetRacer,v1,summarized,0,0,30,2026-01-10 01:26:00+00:00,2026-01-10 02:33:32+00:00,772072,84264,687808
Open Energy Monitor,v3,summarized,0,1,4,2026-01-10 01:24:11+00:00,2026-01-10 01:30:02+00:00,113195,13947,99248
eWeLink,v3,notsummarized,0,1,16,2026-01-10 01:01:20+00:00,2026-01-10 01:18:29+00:00,364942,35724,329218
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-10 00:39:53+00:00,2026-01-10 01:01:15+00:00,492533,46036,446497
JetRacer,v2,notsummarized,1,0,30,2026-01-10 00:27:31+00:00,2026-01-10 01:25:55+00:00,674035,83758,590277
Open Energy Monitor,v1,notsummarized,1,1,14,2026-01-10 00:22:39+00:00,2026-01-10 00:39:47+00:00,329915,37399,292516
JetRacer,v1,notsummarized,0,0,30,2026-01-10 00:06:38+00:00,2026-01-10 00:22:34+00:00,363929,41642,322287
BookInfo,v3,notsummarized,1,0,30,2026-01-09 23:14:36+00:00,2026-01-10 00:06:33+00:00,1261143,108696,1152447
Open Energy Monitor,v3,summarized,1,0,30,2026-01-09 23:01:34+00:00,2026-01-10 00:27:26+00:00,1025424,93213,932211
Open Energy Monitor,v1,summarized,0,0,30,2026-01-09 22:31:52+00:00,2026-01-09 23:14:31+00:00,906019,107944,798075
BookInfo,v2,notsummarized,1,1,19,2026-01-09 22:05:22+00:00,2026-01-09 23:01:28+00:00,669633,82197,587436
eWeLink,v2,summarized,0,0,30,2026-01-09 21:54:45+00:00,2026-01-09 22:31:47+00:00,752276,77754,674522
eWeLink,v3,notsummarized,0,1,14,2026-01-09 21:36:54+00:00,2026-01-09 22:05:17+00:00,316971,30526,286445
Open Energy Monitor,v1,notsummarized,1,0,30,2026-01-09 21:11:06+00:00,2026-01-09 21:54:40+00:00,871530,114334,757196
Open Energy Monitor,v2,notsummarized,1,0,30,2026-01-09 21:02:36+00:00,2026-01-09 21:36:49+00:00,490362,46183,444179
eWeLink,v3,summarized,0,1,4,2026-01-09 20:31:53+00:00,2026-01-09 20:43:08+00:00,107294,11802,95492
BookInfo,v3,summarized,0,0,30,2026-01-09 20:23:42+00:00,2026-01-09 21:11:01+00:00,1116431,84990,1031441
WordPress,v2,notsummarized,0,1,9,2026-01-09 20:23:06+00:00,2026-01-09 20:31:47+00:00,120935,12280,108655
eWeLink,v1,notsummarized,0,1,15,2026-01-09 20:02:59+00:00,2026-01-09 20:23:01+00:00,231026,23799,207227
BookInfo,v1,notsummarized,0,0,30,2026-01-09 20:01:24+00:00,2026-01-09 20:23:37+00:00,521566,59789,461777
JetRacer,v2,notsummarized,1,1,17,2026-01-09 19:28:14+00:00,2026-01-09 20:01:19+00:00,633319,90684,542635
JetRacer,v3,summarized,0,0,30,2026-01-09 19:15:34+00:00,2026-01-09 20:02:54+00:00,700912,84397,616515
JetRacer,v2,notsummarized,0,0,30,2026-01-09 19:10:14+00:00,2026-01-09 19:28:09+00:00,338473,32581,305892
